date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:17	7467/7467	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:42:36%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/menu-small/pic3.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/menu-small/pic3.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:17	7592/7592	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:42:36%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/menu-small/pic4.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/menu-small/pic4.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:18	7520/7520	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:42:37%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/menu-small/pic5.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/menu-small/pic5.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:18	8197/8197	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:42:38%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/menu-small/pic6.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/menu-small/pic6.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:18	95417/95417	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:43:30%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/gallery/grid3/pic1.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/gallery/grid3/pic1.jpg	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:18	33267/33267	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:43:30%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/gallery/grid3/pic2.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/gallery/grid3/pic2.jpg	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:19	87315/87315	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:43:31%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/gallery/grid3/pic3.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/gallery/grid3/pic3.jpg	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:19	60584/60584	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:43:31%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/gallery/grid3/pic4.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/gallery/grid3/pic4.jpg	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:19	10048/10048	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:44:11%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/menu-small/grid/pic1.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/menu-small/grid/pic1.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:20	10342/10342	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:44:11%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/menu-small/grid/pic2.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/menu-small/grid/pic2.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
